Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,Continent
Albania,Maize,1990,1485,121.0,16.37,36613,Europe
Albania,Potatoes,1990,1485,121.0,16.37,66667,Europe
Albania,"Rice, paddy",1990,1485,121.0,16.37,23333,Europe
Albania,Sorghum,1990,1485,121.0,16.37,12500,Europe
Albania,Soybeans,1990,1485,121.0,16.37,7000,Europe
Albania,Wheat,1990,1485,121.0,16.37,30197,Europe
Albania,Maize,1991,1485,121.0,15.36,29068,Europe
Albania,Potatoes,1991,1485,121.0,15.36,77818,Europe
Albania,"Rice, paddy",1991,1485,121.0,15.36,28538,Europe
Albania,Sorghum,1991,1485,121.0,15.36,6667,Europe
Albania,Soybeans,1991,1485,121.0,15.36,6066,Europe
Albania,Wheat,1991,1485,121.0,15.36,20698,Europe
Albania,Maize,1992,1485,121.0,16.06,24876,Europe
Albania,Potatoes,1992,1485,121.0,16.06,82920,Europe
Albania,"Rice, paddy",1992,1485,121.0,16.06,40000,Europe
Albania,Sorghum,1992,1485,121.0,16.06,3747,Europe
Albania,Soybeans,1992,1485,121.0,16.06,4507,Europe
Albania,Wheat,1992,1485,121.0,16.06,24388,Europe
Albania,Maize,1993,1485,121.0,16.05,24185,Europe
Albania,Potatoes,1993,1485,121.0,16.05,98446,Europe
Albania,"Rice, paddy",1993,1485,121.0,16.05,41786,Europe
Albania,Soybeans,1993,1485,121.0,16.05,7998,Europe
Albania,Wheat,1993,1485,121.0,16.05,29976,Europe
Albania,Maize,1994,1485,201.0,16.96,25848,Europe
Albania,Potatoes,1994,1485,201.0,16.96,81404,Europe
Albania,Soybeans,1994,1485,201.0,16.96,7927,Europe
Albania,Wheat,1994,1485,201.0,16.96,24745,Europe
Albania,Maize,1995,1485,251.0,15.67,31300,Europe
Albania,Potatoes,1995,1485,251.0,15.67,111323,Europe
Albania,Soybeans,1995,1485,251.0,15.67,11791,Europe
Albania,Wheat,1995,1485,251.0,15.67,28703,Europe
Albania,Maize,1996,1485,313.96,15.64,32604,Europe
Albania,Potatoes,1996,1485,313.96,15.64,106138,Europe
Albania,Soybeans,1996,1485,313.96,15.64,15480,Europe
Albania,Wheat,1996,1485,313.96,15.64,21741,Europe
Albania,Maize,1997,1485,376.93,15.9,31862,Europe
Albania,Potatoes,1997,1485,376.93,15.9,109874,Europe
Albania,Soybeans,1997,1485,376.93,15.9,12768,Europe
Albania,Wheat,1997,1485,376.93,15.9,28516,Europe
Albania,Maize,1998,1485,439.89,16.27,33416,Europe
Albania,Potatoes,1998,1485,439.89,16.27,127212,Europe
Albania,Soybeans,1998,1485,439.89,16.27,14327,Europe
Albania,Wheat,1998,1485,439.89,16.27,28037,Europe
Albania,Maize,1999,1485,502.86,16.57,37455,Europe
Albania,Potatoes,1999,1485,502.86,16.57,142018,Europe
Albania,Soybeans,1999,1485,502.86,16.57,17143,Europe
Albania,Wheat,1999,1485,502.86,16.57,24954,Europe
Albania,Maize,2000,1485,565.82,16.67,38811,Europe
Albania,Potatoes,2000,1485,565.82,16.67,141228,Europe
Albania,Soybeans,2000,1485,565.82,16.67,15000,Europe
Albania,Wheat,2000,1485,565.82,16.67,30455,Europe
Albania,Maize,2001,1485,628.79,16.59,38135,Europe
Albania,Potatoes,2001,1485,628.79,16.59,148818,Europe
Albania,Soybeans,2001,1485,628.79,16.59,20000,Europe
Albania,Wheat,2001,1485,628.79,16.59,28220,Europe
Albania,Maize,2002,1485,691.75,16.47,39460,Europe
Albania,Potatoes,2002,1485,691.75,16.47,153868,Europe
Albania,Soybeans,2002,1485,691.75,16.47,20000,Europe
Albania,Wheat,2002,1485,691.75,16.47,31617,Europe
Albania,Maize,2004,1485,817.68,16.16,46197,Europe
Albania,Potatoes,2004,1485,817.68,16.16,149346,Europe
Albania,Soybeans,2004,1485,817.68,16.16,13333,Europe
Albania,Wheat,2004,1485,817.68,16.16,31130,Europe
Albania,Maize,2005,1485,880.64,15.67,45442,Europe
Albania,Potatoes,2005,1485,880.64,15.67,167061,Europe
Albania,Soybeans,2005,1485,880.64,15.67,17500,Europe
Albania,Wheat,2005,1485,880.64,15.67,31582,Europe
Albania,Maize,2006,1485,943.61,15.92,50111,Europe
Albania,Potatoes,2006,1485,943.61,15.92,170745,Europe
Albania,Soybeans,2006,1485,943.61,15.92,20000,Europe
Albania,Wheat,2006,1485,943.61,15.92,30787,Europe
Albania,Maize,2007,1485,1006.57,16.67,46732,Europe
Albania,Potatoes,2007,1485,1006.57,16.67,188902,Europe
Albania,Soybeans,2007,1485,1006.57,16.67,20000,Europe
Albania,Wheat,2007,1485,1006.57,16.67,35496,Europe
Albania,Maize,2008,1485,1069.54,16.71,50000,Europe
Albania,Potatoes,2008,1485,1069.54,16.71,193878,Europe
Albania,Soybeans,2008,1485,1069.54,16.71,20000,Europe
Albania,Wheat,2008,1485,1069.54,16.71,40168,Europe
Albania,Maize,2009,1485,1132.5,16.73,55693,Europe
Albania,Potatoes,2009,1485,1132.5,16.73,219780,Europe
Albania,Soybeans,2009,1485,1132.5,16.73,16667,Europe
Albania,Wheat,2009,1485,1132.5,16.73,40229,Europe
Albania,Maize,2010,1485,1311.17,16.52,66790,Europe
Albania,Potatoes,2010,1485,1311.17,16.52,231111,Europe
Albania,Soybeans,2010,1485,1311.17,16.52,16667,Europe
Albania,Wheat,2010,1485,1311.17,16.52,39905,Europe
Albania,Maize,2011,1485,1302.63,16.45,59869,Europe
Albania,Potatoes,2011,1485,1302.63,16.45,242211,Europe
Albania,Soybeans,2011,1485,1302.63,16.45,18519,Europe
Albania,Wheat,2011,1485,1302.63,16.45,42301,Europe
Albania,Maize,2012,1485,766.25,16.7,67290,Europe
Albania,Potatoes,2012,1485,766.25,16.7,250538,Europe
Albania,Soybeans,2012,1485,766.25,16.7,13333,Europe
Albania,Wheat,2012,1485,766.25,16.7,41096,Europe
Albania,Maize,2013,1485,982.32,17.41,69533,Europe
Albania,Potatoes,2013,1485,982.32,17.41,260110,Europe
Albania,Soybeans,2013,1485,982.32,17.41,10000,Europe
Albania,Wheat,2013,1485,982.32,17.41,41292,Europe
Algeria,Maize,1990,89,1828.92,17.48,16500,Africa
Algeria,Potatoes,1990,89,1828.92,17.48,78936,Africa
Algeria,"Rice, paddy",1990,89,1828.92,17.48,28000,Africa
Algeria,Sorghum,1990,89,1828.92,17.48,16571,Africa
Algeria,Wheat,1990,89,1828.92,17.48,6315,Africa
Algeria,Maize,1991,89,2461.8,16.26,19231,Africa
Algeria,Potatoes,1991,89,2461.8,16.26,90747,Africa
Algeria,"Rice, paddy",1991,89,2461.8,16.26,26786,Africa
Algeria,Sorghum,1991,89,2461.8,16.26,24231,Africa
Algeria,Wheat,1991,89,2461.8,16.26,10809,Africa
Algeria,Maize,1992,89,1215.47,16.27,22828,Africa
Algeria,Potatoes,1992,89,1215.47,16.27,107917,Africa
Algeria,"Rice, paddy",1992,89,1215.47,16.27,24733,Africa
Algeria,Sorghum,1992,89,1215.47,16.27,40000,Africa
Algeria,Wheat,1992,89,1215.47,16.27,9939,Africa
Algeria,Maize,1993,89,1021.89,17.0,12500,Africa
Algeria,Potatoes,1993,89,1021.89,17.0,111215,Africa
Algeria,"Rice, paddy",1993,89,1021.89,17.0,23111,Africa
Algeria,Sorghum,1993,89,1021.89,17.0,50000,Africa
Algeria,Wheat,1993,89,1021.89,17.0,8097,Africa
Algeria,Maize,1994,89,1255.02,17.88,4512,Africa
Algeria,Potatoes,1994,89,1255.02,17.88,95078,Africa
Algeria,"Rice, paddy",1994,89,1255.02,17.88,21374,Africa
Algeria,Wheat,1994,89,1255.02,17.88,7999,Africa
Algeria,Maize,1995,89,2697.09,17.36,16115,Africa
Algeria,Potatoes,1995,89,2697.09,17.36,136768,Africa
Algeria,"Rice, paddy",1995,89,2697.09,17.36,19598,Africa
Algeria,Sorghum,1995,89,2697.09,17.36,12667,Africa
Algeria,Wheat,1995,89,2697.09,17.36,8924,Africa
Algeria,Maize,1996,89,479.77,16.76,17154,Africa
Algeria,Potatoes,1996,89,479.77,16.76,134629,Africa
Algeria,"Rice, paddy",1996,89,479.77,16.76,17861,Africa
Algeria,Sorghum,1996,89,479.77,16.76,14750,Africa
Algeria,Wheat,1996,89,479.77,16.76,13090,Africa
Algeria,Maize,1997,89,401.22,17.84,21417,Africa
Algeria,Potatoes,1997,89,401.22,17.84,141042,Africa
Algeria,"Rice, paddy",1997,89,401.22,17.84,15000,Africa
Algeria,Sorghum,1997,89,401.22,17.84,40000,Africa
Algeria,Wheat,1997,89,401.22,17.84,8016,Africa
Algeria,Maize,1998,89,322.84,17.14,17222,Africa
Algeria,Potatoes,1998,89,322.84,17.14,160256,Africa
Algeria,"Rice, paddy",1998,89,322.84,17.14,15000,Africa
Algeria,Sorghum,1998,89,322.84,17.14,24500,Africa
Algeria,Wheat,1998,89,322.84,17.14,8847,Africa
Algeria,Maize,1999,89,654.45,17.97,22375,Africa
Algeria,Potatoes,1999,89,654.45,17.97,153532,Africa
Algeria,"Rice, paddy",1999,89,654.45,17.97,13942,Africa
Algeria,Sorghum,1999,89,654.45,17.97,27000,Africa
Algeria,Wheat,1999,89,654.45,17.97,10711,Africa
Algeria,Maize,2000,89,603.67,17.9,36186,Africa
Algeria,Potatoes,2000,89,603.67,17.9,166143,Africa
Algeria,"Rice, paddy",2000,89,603.67,17.9,13052,Africa
Algeria,Sorghum,2000,89,603.67,17.9,69500,Africa
Algeria,Wheat,2000,89,603.67,17.9,9194,Africa
Algeria,Maize,2001,89,710.11,18.13,27175,Africa
Algeria,Potatoes,2001,89,710.11,18.13,147018,Africa
Algeria,"Rice, paddy",2001,89,710.11,18.13,12314,Africa
Algeria,Sorghum,2001,89,710.11,18.13,27750,Africa
Algeria,Wheat,2001,89,710.11,18.13,11104,Africa
Algeria,Maize,2002,89,816.55,17.85,33480,Africa
Algeria,Potatoes,2002,89,816.55,17.85,183774,Africa
Algeria,"Rice, paddy",2002,89,816.55,17.85,12959,Africa
Algeria,Sorghum,2002,89,816.55,17.85,33900,Africa
