Age,Experience,Salary
56,34,40732
46,27,36177
32,11,29057
60,42,44881
25,1,23092
38,16,31976
56,38,40157
36,18,29259
40,22,34821
28,8,24065
28,4,26864
41,18,34868
53,29,39290
57,37,40786
41,18,33998
20,0,22241
39,21,30030
19,0,21209
41,18,32993
61,40,46338
47,26,37217
55,36,38901
19,0,20386
38,16,29683
50,30,37795
29,11,24937
39,20,30534
61,40,44025
42,22,33540
44,24,35720
59,41,43451
45,22,34423
33,12,27196
32,10,26815
64,44,47847
61,43,44062
20,0,23389
54,31,39068
24,3,26215
38,15,29475
26,6,25466
56,34,41210
35,13,28127
21,0,20707
42,22,32383
31,11,29082
26,3,26394
43,24,32097
19,0,19909
37,16,29650
45,27,33743
64,42,48668
24,5,26994
61,43,46458
25,6,24670
64,40,47195
52,29,39797
31,11,27181
34,12,28410
53,30,39569
57,39,43659
21,0,21249
19,0,22927
23,0,26280
59,41,43108
21,3,24313
46,28,37486
35,17,30145
43,19,36651
61,37,44204
51,32,36830
27,4,27181
53,31,39450
31,11,26282
48,24,39220
32,12,26455
25,2,25424
31,8,26646
40,20,33371
57,33,40343
38,18,33454
33,14,31236
62,41,43033
35,11,28523
64,40,47488
41,19,31019
43,25,34102
42,21,32397
62,39,44592
58,34,40559
46,26,38287
32,11,28900
62,40,43987
18,0,22453
42,24,32531
24,6,23748
26,4,27719
41,19,32134
18,0,22811
61,37,44494
25,7,24931
41,18,32265
28,7,27028
34,11,28918
25,6,26926
52,33,41098
52,30,41750
50,30,37294
22,3,25290
59,41,42450
56,33,43821
58,35,43939
45,23,33558
24,0,25623
26,2,25962
25,4,25430
29,7,29438
51,30,39991
50,26,37823
40,18,34897
41,19,34230
54,32,38963
52,28,37309
61,40,42101
57,36,40170
39,17,32129
44,25,36630
52,32,40076
18,0,23648
52,32,39389
54,34,39681
64,43,48325
31,10,27246
20,1,20014
18,0,23599
22,2,23282
43,21,35096
31,10,25729
56,36,43110
44,21,37374
26,7,26265
32,9,29019
32,9,30009
43,19,33901
59,35,40752
30,11,27234
49,26,36428
56,36,43652
49,28,37330
21,2,25059
47,25,38148
54,31,42357
40,21,33815
56,38,42910
62,44,46017
32,8,29842
60,39,42150
46,26,33945
53,32,40163
30,9,27074
49,28,38175
24,3,26966
39,17,33221
45,23,34309
19,0,21860
59,40,41675
62,44,44243
23,2,24696
45,21,36119
45,26,35910
61,43,44561
61,38,44296
37,17,32357
47,25,35780
28,5,25604
45,27,35432
42,19,32751
56,36,41038
50,26,37601
18,0,19619
44,21,33715
30,8,26020
58,36,42235
20,1,23954
56,33,41470
23,2,22472
25,2,23820
44,20,33443
26,8,23345
54,36,41140
50,26,36734
59,36,45089
61,37,44401
41,21,34769
32,8,27072
49,27,36458
49,25,36160
41,23,35614
58,36,40571
29,11,27361
56,37,41658
19,0,20739
20,2,20129
54,32,42089
34,15,31537
19,1,23369
19,0,20708
45,21,36190
40,19,31279
54,36,42219
49,30,39803
50,30,37869
18,0,21793
36,17,29180
19,0,23970
61,42,44297
43,23,33393
49,30,35528
23,3,22523
49,31,37260
21,1,25113
28,8,25582
34,13,31350
55,35,39923
41,21,34814
22,0,23474
51,33,40074
23,0,25549
39,18,33543
28,5,24327
33,11,30573
50,32,40707
26,8,24050
23,1,23364
33,9,31021
46,26,38585
20,0,23072
37,18,31948
53,32,38851
36,17,30697
43,21,35614
20,2,23295
36,12,32177
37,19,29564
49,28,35858
24,6,25268
58,40,45383
50,29,38473
57,34,43484
56,33,42319
35,14,28184
57,33,40936
18,0,22681
28,10,27273
45,21,37530
42,24,33243
40,18,31961
48,25,38739
47,23,37582
59,39,42021
52,32,37874
24,4,23404
33,10,30312
43,20,33267
19,0,20321
18,0,19454
29,7,26173
22,0,23772
54,31,41687
49,29,38488
26,7,27138
58,40,45406
52,29,39031
36,16,29172
33,9,30567
20,1,22876
37,18,30264
41,18,35224
50,29,36576
41,23,34597
28,9,27419
25,2,25519
53,30,40289
55,35,39686
57,33,42578
37,16,32604
52,34,38182
42,20,35265
52,28,39647
42,18,33825
46,26,35623
35,16,28933
63,44,48196
35,15,27736
19,0,23899
52,33,40453
33,12,29666
58,40,43971
53,29,40171
50,26,35718
21,0,21443
50,31,38351
31,7,28094
38,16,31667
37,19,33847
25,7,23553
24,0,22020
20,0,20406
34,10,28114
50,30,40331
29,5,26363
39,17,32977
39,16,30470
63,45,47671
47,23,37883
55,33,43008
55,35,43609
62,42,42904
25,7,27114
44,23,37411
44,20,33363
51,32,36896
38,18,32959
47,24,36617
50,27,39339
45,25,34817
64,43,43954
50,29,37522
22,0,25097
36,13,32185
21,0,23136
52,29,38978
34,10,30516
61,37,46314
45,26,36706
47,23,35315
46,27,36908
63,39,46675
23,5,23884
52,28,37228
58,36,40331
54,34,39631
41,19,34818
46,26,35474
63,42,45109
48,26,36084
52,31,38669
50,31,38899
38,19,30661
49,31,36704
40,16,34232
50,28,38881
20,0,24616
35,15,27734
42,23,33954
59,35,42385
48,29,37472
20,0,24815
57,33,40661
63,39,46246
41,20,35854
49,28,36600
64,42,47909
39,17,33472
40,17,33562
19,0,19645
44,26,35716
59,40,42562
19,0,24176
43,22,33568
34,14,27678
57,36,42975
50,31,37210
26,3,27777
60,39,42151
56,38,40105
46,27,37232
59,36,43648
43,23,34495
52,29,37828
42,18,32870
41,23,31678
30,11,26089
24,4,24653
53,35,38825
62,39,42961
37,19,29630
18,0,20343
25,3,26867
63,45,47254
33,9,30487
31,13,27246
29,6,28544
40,17,33640
32,12,30939
45,22,35333
51,30,40002
19,0,20741
49,30,36525
40,18,32925
39,17,30979
42,23,35660
39,15,34564
39,17,34237
59,39,41093
23,0,23414
32,13,28641
60,38,44490
54,35,38932
50,29,37645
25,7,26262
61,38,44508
61,42,44739
22,4,24626
56,34,43411
21,3,23332
23,0,23235
62,43,44434
49,28,35350
47,23,37090
64,42,46192
52,33,41242
57,34,39997
33,11,29395
30,10,27917
59,41,43842
47,23,35261
36,13,32043
34,14,29597
36,17,29783
45,24,37287
43,21,32602
54,36,42179
43,21,35560
40,16,32124
26,7,25383
29,7,27923
18,0,20016
18,0,23406
64,42,43971
51,30,39065
49,26,37669
42,23,32161
57,34,41758
