Level,Salary
1,73915
2,81625
3,90132
4,99518
5,109869
6,121284
7,133869
8,147740
9,163024
10,179862
11,198403
12,218812
13,241270
14,265969
15,293122
16,322954
17,355711
18,391657
19,431072
20,474258
21,521535
22,573241
23,629733
24,691384
25,758581
26,831726
27,911229
28,997504
29,1090968
30,1192029
31,1301084
32,1418510
33,1544652
34,1679816
35,1824255
36,1978161
37,2141650
38,2314752
39,2497398
40,2689414
41,2890504
42,3100255
43,3318122
44,3543436
45,3775406
46,4013123
47,4255574
48,4501660
49,4750208
50,5000000
51,5249791
52,5498339
53,5744425
54,5986876
55,6224593
56,6456563
57,6681877
58,6899744
59,7109495
60,7310585
61,7502601
62,7685247
63,7858349
64,8021838
65,8175744
66,8320183
67,8455347
68,8581489
69,8698915
70,8807970
71,8909031
72,9002495
73,9088770
74,9168273
75,9241418
76,9308615
77,9370266
78,9426758
79,9478464
80,9525741
81,9568927
82,9608342
83,9644288
84,9677045
85,9706877
86,9734030
87,9758729
88,9781187
89,9801596
90,9820137
91,9836975
92,9852259
93,9866130
94,9878715
95,9890130
96,9900481
97,9909867
98,9918374
99,9926084
100,9933071
