bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.0,1180,5650,1.0,0,0,3,1180,0,1955,0,221900.0
3,2.25,2570,7242,2.0,0,0,3,2170,400,1951,1991,538000.0
2,1.0,770,10000,1.0,0,0,3,770,0,1933,0,180000.0
4,3.0,1960,5000,1.0,0,0,5,1050,910,1965,0,604000.0
3,2.0,1680,8080,1.0,0,0,3,1680,0,1987,0,510000.0
4,4.5,5420,101930,1.0,0,0,3,3890,1530,2001,0,1225000.0
3,2.25,1715,6819,2.0,0,0,3,1715,0,1995,0,257500.0
3,1.5,1060,9711,1.0,0,0,3,1060,0,1963,0,291850.0
3,1.0,1780,7470,1.0,0,0,3,1050,730,1960,0,229500.0
3,2.5,1890,6560,2.0,0,0,3,1890,0,2003,0,323000.0
3,2.5,3560,9796,1.0,0,0,3,1860,1700,1965,0,662500.0
2,1.0,1160,6000,1.0,0,0,4,860,300,1942,0,468000.0
3,1.0,1430,19901,1.5,0,0,4,1430,0,1927,0,310000.0
3,1.75,1370,9680,1.0,0,0,4,1370,0,1977,0,400000.0
5,2.0,1810,4850,1.5,0,0,3,1810,0,1900,0,530000.0
4,3.0,2950,5000,2.0,0,3,3,1980,970,1979,0,650000.0
3,2.0,1890,14040,2.0,0,0,3,1890,0,1994,0,395000.0
4,1.0,1600,4300,1.5,0,0,4,1600,0,1916,0,485000.0
2,1.0,1200,9850,1.0,0,0,4,1200,0,1921,0,189000.0
3,1.0,1250,9774,1.0,0,0,4,1250,0,1969,0,230000.0
4,1.75,1620,4980,1.0,0,0,4,860,760,1947,0,385000.0
3,2.75,3050,44867,1.0,0,4,3,2330,720,1968,0,2000000.0
5,2.5,2270,6300,2.0,0,0,3,2270,0,1995,0,285000.0
2,1.5,1070,9643,1.0,0,0,3,1070,0,1985,0,252700.0
3,2.25,2450,6500,2.0,0,0,4,2450,0,1985,0,329000.0
3,2.0,1710,4697,1.5,0,0,5,1710,0,1941,0,233000.0
3,1.75,2450,2691,2.0,0,0,3,1750,700,1915,0,937000.0
3,1.0,1400,1581,1.5,0,0,5,1400,0,1909,0,667000.0
3,1.75,1520,6380,1.0,0,0,3,790,730,1948,0,438000.0
4,2.5,2570,7173,2.0,0,0,3,2570,0,2005,0,719000.0
3,2.5,2320,3980,2.0,0,0,3,2320,0,2003,0,580500.0
2,1.5,1190,1265,3.0,0,0,3,1190,0,2005,0,280000.0
4,1.75,2330,5000,1.5,0,0,4,1510,820,1929,0,687500.0
3,1.0,1090,3000,1.5,0,0,4,1090,0,1929,0,535000.0
4,2.75,2060,6659,1.0,0,0,3,1280,780,1981,0,322500.0
3,2.5,2300,3060,1.5,0,0,3,1510,790,1930,2002,696000.0
4,1.0,1660,34848,1.0,0,0,1,930,730,1933,0,550000.0
4,2.0,2360,6000,2.0,0,0,4,2360,0,1904,0,640000.0
4,1.0,1220,8075,1.0,0,0,2,890,330,1969,0,240000.0
4,2.5,2620,7553,2.0,0,0,3,2620,0,1996,0,605000.0
4,2.5,2570,5520,2.0,0,0,3,2570,0,2000,0,625000.0
4,2.25,4220,24186,1.0,0,0,3,2600,1620,1984,0,775000.0
5,2.75,3595,5639,2.0,0,0,3,3595,0,2014,0,861990.0
3,1.0,1570,2280,2.0,0,0,3,1570,0,1922,0,685000.0
3,1.0,1280,9656,1.0,0,0,4,920,360,1959,0,309000.0
3,2.5,3160,13603,2.0,0,0,3,3160,0,2003,0,488000.0
3,1.0,990,8528,1.0,0,0,3,990,0,1966,0,210490.0
4,2.5,2290,13416,2.0,0,0,4,2290,0,1981,0,785000.0
3,1.75,1250,5963,1.0,0,0,4,1250,0,1953,0,450000.0
3,2.5,2753,65005,1.0,1,2,5,2165,588,1953,0,1350000.0
3,1.0,1190,9199,1.0,0,0,3,1190,0,1955,0,228000.0
5,2.5,3150,9134,1.0,0,0,4,1640,1510,1966,0,345000.0
3,1.75,1410,4080,1.0,0,0,4,1000,410,1950,0,600000.0
2,1.75,1980,8550,1.0,0,0,3,990,990,1981,0,585000.0
5,2.25,2730,6000,1.5,0,0,3,2130,600,1927,0,920000.0
4,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0,885000.0
4,2.5,2250,4495,2.0,0,0,3,2250,0,2008,0,292500.0
3,2.5,2420,4750,2.0,0,0,3,2420,0,2003,0,301000.0
5,3.25,3250,14342,2.0,0,4,4,3250,0,1968,0,951000.0
4,3.0,1850,9976,2.0,0,0,3,1850,0,1991,0,430000.0
3,2.25,2150,21235,1.0,0,3,4,1590,560,1959,0,650000.0
3,1.75,1260,8400,1.0,0,0,3,1260,0,1954,0,289000.0
3,1.75,2519,8690,2.0,0,0,5,2519,0,1973,0,505000.0
3,1.75,1540,1044,3.0,0,0,3,1540,0,2014,0,549000.0
3,2.25,1660,6000,1.0,0,0,3,1110,550,1979,0,425000.0
3,2.75,2770,3809,1.5,0,0,5,1770,1000,1925,0,317625.0
4,2.5,2720,11049,2.0,0,0,3,2720,0,1989,0,975000.0
4,2.5,2240,4648,2.0,0,0,3,2240,0,2005,0,287000.0
3,1.0,1000,12070,1.0,0,0,4,1000,0,1968,0,204000.0
5,2.25,3200,20158,1.0,0,0,3,1600,1600,1965,0,1325000.0
5,3.25,4770,50094,1.0,0,0,4,3070,1700,1973,0,1040000.0
3,2.0,1260,5612,1.0,0,0,4,1260,0,1972,0,325000.0
4,2.0,2750,7807,1.5,0,0,5,2250,500,1916,0,571000.0
4,2.5,2380,5000,2.0,0,0,3,2380,0,2005,0,360000.0
3,1.75,1790,50529,1.0,0,0,5,1090,700,1965,0,349000.0
4,4.0,3430,35102,2.0,0,0,4,2390,1040,1986,0,832500.0
4,1.75,1760,7300,1.0,0,0,3,880,880,1956,0,380000.0
3,1.0,1040,5060,1.0,0,0,3,1040,0,1941,0,480000.0
