level,salary
1,46557.134930803055
2,40207.88038897888
3,48067.95878169765
4,56821.94196477098
5,39250.69965345737
6,39251.47383119892
7,57385.60155576464
8,49268.47069221982
9,36900.049541341206
10,47021.08383655037
11,36962.0164725661
12,36939.62586498816
13,44017.29611635107
14,22465.640954112747
15,24350.055075560398
16,35977.168108280996
17,31472.562197346488
18,44744.196726643466
19,32522.35264547862
20,27480.44638733781
21,56260.88108990627
22,39347.56039582537
23,42281.55544756996
24,27359.76153855616
25,36164.4061554389
26,42718.46929778939
27,30100.3376264677
28,45368.30358414745
29,35606.00650150268
30,38696.545902757956
31,35597.52727839675
32,60138.50524578011
33,41481.90115331139
34,31040.934111131723
35,49844.682521722614
36,29412.0069009805
37,43710.30935073828
38,22026.22216189297
39,28342.33291170642
40,43594.09575938196
41,49011.45920064483
42,43341.80621259043
43,40472.99057680832
44,38619.80644479784
45,26847.01349701645
46,34435.20131674364
47,37028.68569109285
48,52207.74566287988
49,45074.17629637534
50,24009.081847063386
51,44881.83309463868
52,37791.70059652756
53,34874.85339763114
54,47762.4062890994
55,51957.228625650234
56,50961.64459185271
57,33258.29816846434
58,38559.999642178576
59,44966.427714726364
60,51410.93467191432
61,36865.45102223783
62,39802.33363405256
63,30597.32366063044
64,29700.377159884018
65,49789.491624632705
66,55228.443686398954
67,40947.77218488739
68,51705.05237961096
69,45287.95365116707
70,35222.285854639485
71,45289.34945577486
72,57057.689065350416
73,41321.01300959121
74,57327.67995883079
75,15485.782359793284
76,49904.26844444296
77,42557.74408307244
78,38699.24989603205
79,42609.00116604575
80,21817.794254681798
81,39498.87452231561
82,45268.84911580819
83,56478.813848105885
84,36519.34121795425
85,33619.29737175885
86,36688.87296484536
87,50862.69457771147
88,44998.43449728757
89,36415.591363020336
90,46848.157731824285
91,42688.56889417113
92,51406.57330601962
93,34701.942461917206
94,38448.221934713045
95,37806.15186936915
96,27094.49391936954
97,44693.27617133649
98,44345.07612248962
99,41788.12796711533
100,39393.612066939255
101,27588.285980186585
102,37538.07017303714
103,38319.92823542303
104,33726.87070847454
105,40139.37628403063
106,45795.35196883611
107,60619.33241279603
108,43505.90152900912
109,44338.29730791837
110,41021.02424302905
111,22580.48124770031
112,41505.78464619856
113,42375.97550010099
114,66408.86452554358
115,39855.6237528795
116,44797.516824026854
117,41437.75570363829
118,30100.943024495406
119,53218.82154584093
120,49312.81372755847
121,49706.71287112119
122,32705.448852743335
123,55830.216510051716
124,27786.732772767915
125,47676.80433869343
126,63715.79965879051
127,31908.910149383843
128,36154.34610466301
129,42816.90705156714
130,36788.72685952873
131,26319.9590900294
132,42515.353148751004
133,31209.83626342968
134,46571.96770704254
135,32644.991058352694
136,57341.78745086612
137,34013.14047732836
138,38628.30823863397
139,49987.365574387426
140,29546.840236351174
141,44133.39274673202
142,54933.55094351501
143,25790.64105507845
144,43715.18198601377
145,44471.06134317496
146,49693.87211846383
147,29509.566291909905
148,28677.957269847964
149,47105.4090568597
150,44859.33013302259
151,44397.921904149494
152,45361.00549566048
153,35099.82618490582
154,44226.18037230076
155,44837.95813367754
156,34767.32922042705
157,60572.21851213829
158,46656.4526098086
159,30008.758428664238
160,48491.01948702902
161,32182.37669841751
162,49803.76943811525
163,53522.62919076477
164,33733.62021717362
165,51577.994693133944
166,46075.85267005571
167,50172.475000635626
168,60923.6532272302
169,39505.71224066202
170,34426.121757115834
171,33072.24910443549
172,33813.22055103634
173,41204.25630654968
174,45390.763148857164
175,44750.14139399092
176,50259.07589105096
177,42121.292319469794
178,56530.664172263896
179,39352.82506831117
180,69205.17506658692
181,48264.266878340786
182,33440.1478365279
183,31306.9484200796
184,46844.76755312258
185,39789.60554743222
186,49168.44834161164
187,46765.049646426174
188,41308.634274122
189,33573.256220006675
190,26897.011153832078
191,37584.643880020514
192,50618.11134392545
193,44199.410841992765
194,29605.455613570848
195,43799.04265920255
196,45924.81719797909
197,33237.499038679394
198,43617.77446014601
199,42667.080585150725
200,30659.780422384494
201,45671.86700417356
202,47706.36866437307
203,52933.585832443496
204,52645.663921039755
205,28335.539721119814
206,32738.5930015395
207,47271.82607277732
208,47263.98290981281
209,47281.270263751205
210,80662.79830723794
211,47849.098507622395
212,53500.579802496715
213,51689.691035622745
214,48668.3559137487
215,39006.540954287266
216,49753.7356056234
217,34440.62125531501
218,39805.53733329064
219,37324.95792239969
220,43002.22479455395
221,65334.97906742581
222,23520.671474773244
223,49060.87530443586
224,26076.08468879421
225,37488.91474279639
226,53102.749370364385
227,42861.073591645356
228,31445.875621397667
229,35075.35630809104
230,49029.46089003749
231,34934.92708351936
232,44408.30929651047
233,42704.59179972886
234,35738.039924632554
235,63698.67429394399
236,48603.63362387084
237,22018.247534114653
238,44139.466548385004
239,35662.32875300685
240,50809.816748652964
241,34365.58601636372
242,41148.758986021734
243,47351.3461904953
244,50964.395342391945
245,30309.269330132964
246,38972.63104228124
247,37573.62028908117
248,35795.23107495361
249,59988.5358035017
250,46389.30051030028
251,29736.153857340272
252,51529.14287123849
253,63577.63537081706
254,52686.296006202196
255,27173.53374115059
256,37530.50267202821
257,55047.58489255695
258,35307.42874450292
259,46827.98768215301
260,50141.823934984095
261,33131.88868490989
262,41811.669840072725
263,10000.0
264,32174.56698734783
265,39898.55188675912
266,29952.211581042233
267,58759.98644000708
268,28140.3096210844
269,38047.14853372089
270,43760.88917355164
271,56872.12629135188
272,28106.701888896332
273,54102.91092224032
274,42579.5740108866
275,32668.146890211217
276,47110.278143323434
277,44485.870356425425
278,36499.15462910278
279,43205.41425059091
280,38660.347432073126
281,43654.766853203204
282,49147.03014590119
283,58392.04156214425
284,30159.888412422235
285,63874.56714725339
286,23029.565405465706
287,41038.82245033489
288,48446.09546553649
289,45379.11207804105
290,36348.48820248479
291,40500.57089711797
292,37658.11405410239
293,36700.825831248614
294,51096.86437090097
295,46177.3882603412
296,35684.54744808418
297,51616.072155023234
298,45699.51860945682
299,50761.61458908033
300,48935.77181992685
301,34356.04329147001
302,37050.71299872103
303,50132.009451923346
304,48769.34605502537
305,42463.217461049244
306,43852.11723377855
307,55462.122358574976
308,36776.40951233242
309,48169.7672123911
310,40683.55687635178
311,40535.38136841852
312,53706.691920562625
313,50979.83689057102
314,50867.53976069711
315,55794.02147223402
316,42956.08181701832
317,49572.403113640365
318,39657.05583475616
319,46008.256925575144
320,41472.052857013885
321,43750.35305061791
322,48738.89365505986
323,34612.066568356
324,63725.11615754533
325,32748.059585693707
326,30673.357272813402
