level,salary
10,34977
7,10752
4,1552
4,1593
7,10685
7,10740
6,6332
4,1596
10,34973
5,3381
1,190
10,34968
9,24797
1,220
2,293
5,3406
10,34999
1,186
10,34970
5,3429
5,3403
3,634
9,24748
3,662
2,279
6,6361
8,16777
6,6373
5,3412
7,10756
6,6358
4,1596
9,24743
10,34983
8,16799
1,213
6,6334
9,24781
7,10718
7,10723
10,34978
6,6362
8,16782
10,34960
2,250
1,229
1,191
3,605
6,6402
9,24775
1,227
7,10749
4,1566
8,16756
6,6374
1,247
4,1602
8,16705
5,3385
7,10732
9,24750
3,694
2,294
3,649
9,24733
4,1589
7,10726
2,298
8,16783
10,35003
4,1569
1,259
6,6328
10,34967
9,24768
8,16759
6,6337
7,10702
9,24723
4,1602
10,35008
7,10719
1,218
10,34946
6,6381
2,323
10,34938
4,1566
1,212
4,1577
3,641
2,309
2,295
2,285
8,16746
9,24733
5,3389
3,671
4,1589
9,24748
8,16759
2,291
10,34949
9,24790
7,10724
10,34974
9,24768
1,232
4,1582
2,267
2,253
2,287
3,624
3,614
5,3411
3,666
10,34978
10,34965
10,34988
8,16807
5,3374
1,236
8,16767
8,16789
5,3430
2,268
7,10683
9,24776
1,208
5,3386
6,6386
9,24737
7,10753
1,235
1,234
8,16770
2,235
10,34939
1,232
6,6373
9,24760
2,254
5,3407
2,271
9,24736
1,250
3,597
9,24771
5,3416
1,250
10,34956
10,34981
8,16812
8,16778
4,1592
7,10733
2,275
9,24808
5,3429
6,6358
4,1596
2,264
9,24785
10,34947
6,6323
8,16796
5,3456
4,1601
8,16765
5,3422
5,3392
1,231
8,16764
6,6374
4,1555
2,261
3,655
8,16747
1,205
5,3453
6,6361
5,3394
3,598
3,653
3,652
2,266
8,16738
2,272
10,34960
8,16741
8,16760
4,1566
2,278
8,16777
10,34960
8,16732
10,35015
8,16741
9,24743
4,1595
10,34993
1,221
10,34990
8,16754
6,6338
6,6392
6,6416
10,35018
6,6363
3,678
1,235
5,3396
9,24769
7,10719
2,250
6,6339
7,10739
8,16721
5,3421
8,16726
7,10673
9,24716
1,272
4,1586
7,10723
9,24790
6,6381
5,3375
9,24778
10,34983
10,34971
10,34980
6,6389
1,207
2,282
3,636
10,34938
8,16745
8,16767
5,3437
6,6383
3,650
3,617
5,3448
1,232
6,6337
9,24754
6,6380
2,273
9,24778
9,24783
5,3416
1,208
6,6363
8,16764
2,315
7,10684
9,24755
9,24745
8,16770
6,6304
9,24783
2,273
7,10679
1,219
6,6374
6,6324
4,1590
5,3383
7,10708
6,6360
4,1594
9,24747
8,16769
8,16781
9,24752
9,24790
7,10754
8,16753
9,24743
3,598
4,1587
5,3399
5,3425
5,3373
5,3401
2,295
3,619
6,6343
7,10688
7,10780
10,34962
3,606
6,6342
1,210
10,34973
2,291
2,266
2,252
9,24725
4,1590
4,1591
3,671
4,1592
4,1588
1,203
9,24751
10,34969
5,3399
9,24736
1,239
4,1587
1,223
9,24719
4,1601
1,238
9,24739
2,295
7,10690
1,227
7,10715
6,6330
3,640
4,1629
6,6361
4,1579
8,16773
7,10723
1,228
5,3397
9,24790
5,3417
10,34967
3,634
3,619
9,24744
4,1575
5,3381
4,1608
5,3400
3,649
10,34964
9,24757
2,256
1,243
4,1584
9,24741
4,1553
10,34985
5,3391
9,24758
10,34968
10,35001
10,34992
10,34989
5,3393
2,283
6,6399
5,3388
6,6364
9,24721
8,16794
1,218
7,10739
2,233
2,313
10,34971
5,3419
6,6363
2,267
6,6398
10,34942
6,6367
4,1611
8,16762
2,270
8,16759
1,199
7,10722
7,10733
6,6361
4,1584
1,216
7,10715
5,3436
8,16715
6,6361
5,3400
9,24791
4,1591
8,16796
8,16714
9,24768
4,1596
2,304
9,24721
6,6356
5,3409
5,3396
2,300
2,265
9,24804
9,24782
4,1612
3,649
7,10697
4,1580
1,240
1,243
6,6390
9,24747
8,16743
6,6379
9,24740
1,247
2,300
3,646
1,219
9,24759
3,649
9,24758
1,277
7,10698
7,10698
7,10699
4,1577
5,3358
4,1576
1,212
4,1592
7,10730
7,10693
7,10741
6,6401
10,34974
1,263
2,277
5,3452
8,16788
3,600
7,10721
1,251
2,273
2,272
1,256
2,256
6,6360
1,234
7,10713
2,272
1,245
6,6370
7,10703
9,24733
7,10703
1,227
10,34976
2,254
8,16749
6,6325
6,6369
1,226
1,199
2,273
6,6390
7,10704
5,3437
9,24751
10,34984
6,6362
6,6392
9,24762
10,34953
2,243
3,601
9,24719
6,6361
7,10699
8,16761
3,620
5,3390
7,10710
1,243
4,1611
4,1598
7,10698
4,1605
10,34995
2,279
8,16749
4,1606
4,1600
4,1519
10,34994
2,229
2,288
1,224
7,10748
10,34977
10,34959
9,24755
9,24782
2,273
9,24755
5,3424
4,1595
10,34979
5,3438
9,24793
10,34993
4,1583
10,35013
10,35006
1,243
8,16735
2,276
1,210
9,24754
2,278
6,6362
4,1579
10,35008
10,34941
1,244
4,1548
6,6369
6,6340
2,293
4,1592
6,6365
2,249
1,212
4,1595
5,3420
6,6426
10,34984
10,35001
10,34944
7,10691
6,6352
4,1563
10,35013
2,263
10,35011
3,670
5,3408
1,239
2,271
10,34991
6,6371
3,633
2,284
9,24797
4,1606
4,1597
8,16766
5,3384
6,6337
7,10728
3,605
8,16745
3,665
7,10764
10,34941
3,673
1,222
10,34979
5,3404
8,16787
2,236
7,10731
4,1568
7,10734
1,262
2,273
6,6368
8,16772
5,3389
2,307
9,24797
3,652
5,3409
2,262
9,24744
1,266
4,1622
3,635
3,600
2,208
5,3382
8,16760
10,35011
8,16748
7,10732
7,10750
4,1593
9,24755
1,197
5,3380
5,3417
1,223
5,3410
3,635
3,651
4,1572
10,34972
9,24801
7,10703
3,630
8,16749
2,283
6,6383
5,3396
9,24748
10,34973
9,24770
4,1573
7,10712
6,6306
4,1559
7,10718
4,1610
2,279
10,34954
9,24726
3,640
4,1552
6,6384
8,16764
3,599
4,1568
4,1574
10,34962
6,6326
8,16743
1,212
2,256
8,16788
9,24760
7,10698
4,1582
7,10701
2,266
1,247
10,34985
4,1642
1,236
5,3386
10,34998
4,1614
4,1615
7,10696
2,269
7,10747
2,234
7,10710
1,195
10,34958
7,10698
5,3435
9,24753
6,6340
4,1566
5,3410
5,3407
5,3438
6,6371
8,16730
9,24744
6,6384
10,34965
4,1629
3,611
2,286
1,208
8,16751
2,298
5,3404
5,3426
1,238
8,16780
3,616
6,6355
7,10731
5,3388
4,1627
2,255
1,220
10,34956
10,34930
3,677
7,10716
8,16753
1,223
2,305
9,24736
8,16778
9,24748
5,3394
8,16776
10,35002
7,10709
9,24741
9,24731
2,298
10,34966
10,34937
2,305
5,3376
1,245
10,34983
7,10727
3,623
6,6368
8,16725
3,649
3,671
9,24778
7,10675
1,205
3,632
4,1601
2,270
6,6349
6,6373
3,662
2,267
9,24775
6,6301
3,615
3,629
2,261
1,235
10,35002
7,10732
8,16749
4,1555
