level,salary
10,2001207
7,615176
4,88819
4,91170
7,611340
7,614497
6,362305
4,91339
10,2000977
5,193431
1,10892
10,2000679
9,1418798
1,12615
2,16787
5,194862
10,2002483
1,10622
10,2000819
5,196170
5,194724
3,36276
9,1415976
3,37882
2,15982
6,363938
8,959921
6,364645
5,195213
7,615410
6,363803
4,91332
9,1415700
10,2001539
8,961149
1,12160
6,362408
9,1417831
7,613206
7,613524
10,2001285
6,363984
8,960191
10,2000253
2,14281
1,13107
1,10909
3,34604
6,366307
9,1417520
1,12983
7,615008
4,89618
8,958675
6,364691
1,14154
4,91637
8,955783
5,193678
7,614019
9,1416073
3,39690
2,16800
3,37114
9,1415084
4,90925
7,613713
2,17061
8,960231
10,2002686
4,89770
1,14831
6,362087
10,2000647
9,1417095
8,958891
6,362574
7,612331
9,1414523
4,91662
10,2002982
7,613269
1,12476
10,1999430
6,365068
2,18469
10,1999008
4,89589
1,12113
4,90237
3,36684
2,17693
2,16906
2,16281
8,958145
9,1415080
5,193901
3,38400
4,90890
9,1415955
8,958847
2,16667
10,1999637
9,1418374
7,613602
10,2001062
9,1417111
1,13280
4,90523
2,15267
2,14466
2,16448
3,35697
3,35146
5,195152
3,38116
10,2001281
10,2000553
10,2001868
8,961603
5,193050
1,13493
8,959352
8,960595
5,196224
2,15353
7,611210
9,1417584
1,11911
5,193706
6,365373
9,1415352
7,615222
1,13433
1,13411
8,959485
2,13466
10,1999035
1,13276
6,364619
9,1416643
2,14528
5,194961
2,15489
9,1415292
1,14314
3,34140
9,1417301
5,195436
1,14308
10,2000037
10,2001475
8,961907
8,959946
4,91101
7,614100
2,15707
9,1419383
5,196215
6,363770
4,91299
2,15088
9,1418108
10,1999516
6,361796
8,960981
5,197735
4,91579
8,959232
5,195791
5,194096
1,13219
8,959136
6,364695
4,88946
2,14936
3,37487
8,958208
1,11705
5,197590
6,363931
5,194184
3,34189
3,37336
3,37297
2,15207
8,957653
2,15563
10,2000257
8,957861
8,958951
4,89604
2,15916
8,959876
10,2000252
8,957307
10,2003372
8,957864
9,1415678
4,91247
10,2002122
1,12663
10,2001942
8,958565
6,362619
6,365735
6,367115
10,2003547
6,364065
3,38771
1,13458
5,194316
9,1417142
7,613276
2,14318
6,362714
7,614441
8,956686
5,195722
8,956968
7,610642
9,1414146
1,15552
4,90716
7,613512
9,1418380
6,365095
5,193128
9,1417665
10,2001583
10,2000899
10,2001375
6,365544
1,11845
2,16116
3,36376
10,1999008
8,958043
8,959337
5,196622
6,365182
3,37165
3,35329
5,197277
1,13276
6,362573
9,1416298
6,365046
2,15605
9,1417688
9,1417970
5,195457
1,11882
6,364057
8,959144
2,18012
7,611286
9,1416360
9,1415776
8,959521
6,360713
9,1417984
2,15613
7,611002
1,12527
6,364672
6,361813
4,90975
5,193562
7,612677
6,363916
4,91209
9,1415924
8,959440
8,960149
9,1416173
9,1418396
7,615299
8,958528
9,1415707
3,34226
4,90806
5,194464
5,195949
5,192975
5,194576
2,16854
3,35439
6,362890
7,611519
7,616805
10,2000372
3,34699
6,362836
1,11990
10,2000993
2,16668
2,15208
2,14396
9,1414649
4,90999
4,91026
3,38378
4,91091
4,90842
1,11631
9,1416138
10,2000774
5,194455
9,1415289
1,13696
4,90786
1,12736
9,1414308
4,91612
1,13629
9,1415445
2,16882
7,611626
1,12968
7,613047
6,362169
3,36635
4,93183
6,363969
4,90369
8,959667
7,613537
1,13032
5,194383
9,1418383
5,195530
10,2000656
3,36248
3,35426
9,1415745
4,90138
5,193462
4,91981
5,194558
3,37109
10,2000473
9,1416457
2,14671
1,13931
4,90648
9,1415586
4,88837
10,2001702
5,194016
9,1416515
10,2000704
10,2002583
10,2002051
10,2001925
5,194136
2,16201
6,366110
5,193855
6,364105
9,1414392
8,960903
1,12479
7,614416
2,13356
2,17931
10,2000880
5,195646
6,364077
2,15263
6,366072
